time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443750000	4.56571	0.534062	5.48429	-0.106321	-0.348825	radar	0	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75864	0.637278	5.34401	-0.00928942	-0.113446	lidar	0	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01258	0.633695	5.30029	-0.0197956	-0.12525	radar	0	5.20902	0.66599	5.01316	0.679804	5.1727	0.272649
1477010443900000	5.31386	0.633414	5.33962	-0.0225851	-0.11836	lidar	0	5.51893	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.57122	0.641779	5.33534	-0.0158091	-0.095682	radar	0	5.22835	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86416	0.660296	5.35973	-0.00519174	-0.0703565	lidar	0	6.022	0.708619	5.78828	0.728071	5.15932	0.372999
1477010444050000	6.10956	0.585369	5.32927	-0.0586724	-0.149271	radar	0	5.89392	0.373584	6.04618	0.747646	5.15393	0.409793
1477010444100000	6.36779	0.699495	5.3049	0.0152196	-0.0285632	lidar	0	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.62117	0.729092	5.28117	0.0281687	-0.00843028	radar	0	6.62134	0.836138	6.56111	0.792523	5.14157	0.488305
1477010444200000	6.87038	0.729756	5.26786	0.0241964	-0.0131129	lidar	0	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11989	0.711534	5.23815	0.00836926	-0.0331726	radar	0	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.34572	0.796084	5.20007	0.0509405	0.0222721	lidar	0	7.13735	0.957217	7.3309	0.875372	5.1185	0.618123
1477010444350000	7.63073	0.807635	5.23124	0.0511787	0.0210017	radar	0	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.88113	0.789273	5.22264	0.0367494	0.00321205	lidar	0	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.13668	0.805522	5.20688	0.0392611	0.00561488	radar	0	8.40453	0.884557	8.0968	0.978758	5.08907	0.761915
1477010444500000	8.37684	0.825109	5.18959	0.0442677	0.0109664	lidar	0	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.63852	0.907472	5.20044	0.0772735	0.0453976	radar	0	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.87669	0.966643	5.18306	0.0969707	0.0635072	lidar	0	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.15988	1.00259	5.20553	0.104001	0.0670453	radar	0	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.39785	1.038	5.18884	0.111217	0.0710756	lidar	0	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.67121	1.10392	5.20508	0.129225	0.0846868	radar	0	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.93877	1.22628	5.21657	0.16812	0.11705	lidar	0	10.0484	1.44598	9.86254	1.31118	4.98922	1.14793
1477010444850000	10.1947	1.30584	5.21061	0.188023	0.130388	radar	0	10.5377	1.72555	10.1116	1.37011	4.97074	1.2084
1477010444900000	10.424	1.38887	5.19247	0.208273	0.143216	lidar	0	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6689	1.46495	5.17726	0.224676	0.152403	radar	0	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8998	1.50789	5.16	0.227544	0.148564	lidar	0	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1616	1.55709	5.16714	0.23086	0.144783	radar	0	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4333	1.61212	5.18177	0.235261	0.141978	lidar	0	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6727	1.66881	5.16798	0.241863	0.142164	radar	0	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.906	1.73926	5.15653	0.252629	0.145575	lidar	0	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1569	1.82089	5.16227	0.265121	0.149721	radar	0	12.136	2.14937	12.0648	1.95639	4.77598	1.73273
1477010445300000	12.3991	1.86372	5.15402	0.264349	0.142867	lidar	0	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6494	1.9237	5.15726	0.268242	0.139734	radar	0	12.5457	1.77728	12.5394	2.13677	4.71258	1.87338
1477010445400000	12.8573	2.04976	5.13787	0.296851	0.158586	lidar	0	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1123	2.14457	5.15296	0.309439	0.161537	radar	0	13.2198	2.66441	13.0075	2.33136	4.64258	2.01701
1477010445500000	13.3206	2.28	5.13734	0.338553	0.179812	lidar	0	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.5242	2.40709	5.1111	0.365322	0.196914	radar	0	12.7087	3.12439	13.4682	2.54047	4.56564	2.16317
1477010445600000	13.7663	2.52881	5.11927	0.384288	0.204452	lidar	0	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9933	2.63338	5.11154	0.398447	0.208614	radar	0	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.2182	2.78668	5.11594	0.426678	0.223656	lidar	0	14.2105	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4595	2.88852	5.12442	0.434194	0.219342	radar	0	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6686	2.98476	5.10673	0.443494	0.218526	lidar	0	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8957	3.11977	5.11366	0.461409	0.223529	radar	0	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.1004	3.30572	5.11634	0.497295	0.244589	lidar	0	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3187	3.45311	5.11608	0.51881	0.253543	radar	0	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.526	3.64188	5.12393	0.551783	0.270625	lidar	0	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7418	3.76928	5.11994	0.563319	0.269367	radar	0	15.7234	3.4105	15.6356	3.80957	4.06678	2.91315
1477010446100000	15.9547	3.92848	5.12477	0.583465	0.274878	lidar	0	15.9774	4.00094	15.8375	3.95718	4.00571	2.98817
1477010446150000	16.1611	4.08208	5.11952	0.603876	0.282862	radar	0	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3539	4.28135	5.12644	0.635989	0.297935	lidar	0	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.564	4.4354	5.12945	0.650287	0.297373	radar	0	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7416	4.62021	5.12448	0.677326	0.308041	lidar	0	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.9155	4.80727	5.11103	0.709511	0.327727	radar	0	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0788	5.03465	5.11686	0.747526	0.345889	lidar	0	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2566	5.20735	5.10787	0.76821	0.351492	radar	0	17.3421	4.64623	17.1578	5.09409	3.51797	3.50008
1477010446500000	17.4155	5.40647	5.10337	0.795535	0.360058	lidar	0	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5799	5.58559	5.09085	0.818216	0.367701	radar	0	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7664	5.73976	5.08411	0.825197	0.358439	lidar	0	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.9171	5.94394	5.07592	0.855984	0.373844	radar	0	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0857	6.14069	5.07967	0.874691	0.373618	lidar	0	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2352	6.35008	5.07824	0.901078	0.381995	radar	0	18.1245	6.79027	18.1403	6.20641	3.01542	3.90462
1477010446800000	18.3578	6.58409	5.07844	0.935417	0.394846	lidar	0	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4915	6.80134	5.07469	0.964188	0.405285	radar	0	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.6372	6.97007	5.05546	0.974529	0.398237	lidar	0	18.5422	6.76013	18.572	6.80638	2.7356	4.08866
1477010446950000	18.7793	7.18053	5.0567	0.99362	0.397234	radar	0	18.8089	7.24388	18.7064	7.01237	2.63826	4.14672
1477010447000000	18.9646	7.33991	5.04984	0.990176	0.378156	lidar	0	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0585	7.56549	5.03489	1.02785	0.399846	radar	0	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1534	7.80909	5.03602	1.06145	0.411163	lidar	0	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2686	8.02828	5.03225	1.08412	0.414192	radar	0	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3515	8.24742	5.01731	1.11236	0.421509	lidar	0	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4448	8.47145	5.01061	1.13683	0.424566	radar	0	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.54	8.64845	4.97785	1.15122	0.421182	lidar	0	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.6247	8.87646	4.97133	1.17909	0.430034	radar	0	19.6843	8.35902	19.5967	8.75494	1.7919	4.53956
1477010447400000	19.7783	9.05514	4.96043	1.17558	0.410058	lidar	0	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8464	9.29378	4.95588	1.20856	0.424586	radar	0	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9739	9.50253	4.95419	1.21452	0.412061	lidar	0	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0172	9.74487	4.94544	1.25413	0.434155	radar	0	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.107	9.96613	4.94069	1.2695	0.429244	lidar	0	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1598	10.2158	4.9443	1.29751	0.434131	radar	0	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.213	10.4597	4.94491	1.32299	0.437198	lidar	0	20.166	10.4687	20.0817	10.3863	0.968259	4.75666
1477010447750000	20.2295	10.7067	4.93772	1.36324	0.457969	radar	0	19.6774	10.803	20.1271	10.6247	0.845742	4.77651
1477010447800000	20.2907	10.9525	4.94312	1.38268	0.454744	lidar	0	20.3711	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3157	11.2059	4.94585	1.41235	0.460674	radar	0	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3506	11.4384	4.93766	1.43465	0.46067	lidar	0	20.3164	11.3483	20.2261	11.3449	0.472738	4.81806
1477010447950000	20.3057	11.6942	4.9295	1.49194	0.499391	radar	0	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3741	11.9272	4.92926	1.50028	0.485825	lidar	0	20.6141	11.9421	20.2608	11.8275	0.22044	4.83027
1477010448050000	20.3878	12.1682	4.92628	1.52034	0.478725	radar	0	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3811	12.4275	4.93323	1.54995	0.48281	lidar	0	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3352	12.6738	4.92706	1.59709	0.51002	radar	0	20.0192	12.4822	20.2653	12.5522	-0.161529	4.82451
1477010448200000	20.3576	12.9102	4.92343	1.61243	0.502069	lidar	0	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3386	13.1505	4.91926	1.6423	0.509368	radar	0	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.303	13.3724	4.90252	1.67169	0.513866	lidar	0	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2575	13.6126	4.89962	1.70339	0.519592	radar	0	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2394	13.8561	4.90084	1.72407	0.515234	lidar	0	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.179	14.0917	4.8969	1.75999	0.527772	radar	0	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72375
1477010448500000	20.1282	14.3323	4.8975	1.78685	0.528108	lidar	0	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0518	14.5652	4.89458	1.82105	0.53599	radar	0	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9518	14.8021	4.89692	1.85871	0.544492	lidar	0	19.781	14.773	19.9339	14.6897	-1.30687	4.62805
1477010448650000	19.8766	15.0269	4.89073	1.88518	0.542594	radar	0	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8377	15.2491	4.88088	1.90082	0.534246	lidar	0	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7091	15.468	4.88122	1.95644	0.571957	radar	0	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6674	15.6739	4.86182	1.97046	0.561983	lidar	0	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5628	15.8884	4.85774	2.00229	0.566473	radar	0	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4616	16.0964	4.84975	2.03042	0.567006	lidar	0	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3497	16.3088	4.84698	2.0565	0.562428	radar	0	19.1556	16.0022	19.3257	16.255	-2.15925	4.28868
1477010449000000	19.2351	16.4932	4.82807	2.08675	0.56573	lidar	0	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1085	16.6966	4.82646	2.11847	0.570286	radar	0	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9837	16.8937	4.82098	2.14669	0.570513	lidar	0	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8276	17.0884	4.82669	2.19242	0.594472	radar	0	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6732	17.2938	4.8369	2.22369	0.594835	lidar	0	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5556	17.4971	4.83174	2.23247	0.567685	radar	0	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3558	17.6683	4.83602	2.27603	0.57932	lidar	0	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2129	17.8573	4.83209	2.29256	0.562415	radar	0	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0755	18.0387	4.82511	2.31405	0.557762	lidar	0	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.898	18.2003	4.82249	2.34999	0.567394	radar	0	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7515	18.3527	4.80334	2.37497	0.566306	lidar	0	17.9017	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6095	18.5364	4.80009	2.38841	0.551188	radar	0	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4251	18.6983	4.80304	2.41758	0.552225	lidar	0	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2404	18.8459	4.79951	2.44801	0.555284	radar	0	17.7945	18.0801	17.2811	18.8962	-3.61271	3.16817
1477010449700000	17.0704	18.9842	4.78556	2.47444	0.555333	lidar	0	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9009	19.1519	4.78661	2.48998	0.542164	radar	0	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.6864	19.2615	4.7797	2.52858	0.551761	lidar	0	16.5734	19.052	16.7202	19.3488	-3.86278	2.86455
1477010449850000	16.4985	19.4117	4.78299	2.55057	0.546699	radar	0	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75937
1477010449900000	16.2901	19.5512	4.79141	2.57762	0.545837	lidar	0	16.2338	19.617	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0647	19.6431	4.78687	2.61849	0.55897	radar	0	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54365
1477010450000000	15.8666	19.7754	4.78879	2.64083	0.554404	lidar	0	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6705	19.8999	4.78212	2.6553	0.536635	radar	0	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4566	20.0324	4.79332	2.67679	0.531594	lidar	0	15.4332	20.1836	15.4956	20.111	-4.2846	2.2081
1477010450150000	15.2534	20.1658	4.79704	2.69078	0.517715	radar	0	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.06	20.2933	4.79468	2.70635	0.509752	lidar	0	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8332	20.3784	4.79389	2.73631	0.513186	radar	0	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6203	20.4903	4.79698	2.75553	0.507892	lidar	0	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3922	20.5763	4.80028	2.78369	0.511571	radar	0	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1512	20.647	4.80544	2.81421	0.515124	lidar	0	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9203	20.718	4.80694	2.84304	0.519415	radar	0	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6614	20.7751	4.82059	2.87565	0.523752	lidar	0	13.4687	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4189	20.8097	4.82204	2.91616	0.541548	radar	0	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1737	20.8553	4.82649	2.94579	0.543264	lidar	0	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9437	20.9109	4.82567	2.9693	0.540897	radar	0	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7264	20.9664	4.81708	2.9893	0.535901	lidar	0	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4826	21.0024	4.8224	3.01746	0.538294	radar	0	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2387	21.0413	4.82822	3.04125	0.535434	lidar	0	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	12.0009	21.0612	4.82813	3.07058	0.540061	radar	0	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7507	21.0425	4.82743	3.10772	0.548138	lidar	0	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.5044	21.0295	4.82871	3.14238	0.555549	radar	0	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2748	21.0323	4.82193	3.16758	0.553956	lidar	0	11.363	21.0689	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0233	20.9941	4.82617	3.20606	0.564074	radar	0	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7958	20.9668	4.81612	3.23621	0.566314	lidar	0	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5508	20.9585	4.81772	3.25446	0.553052	radar	0	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.316041
1477010451200000	10.2946	20.9744	4.83431	3.26855	0.541071	lidar	0	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0572	20.9536	4.8337	3.2912	0.537172	radar	0	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8389	20.9225	4.82025	3.31539	0.535956	lidar	0	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60282	20.9078	4.81496	3.32642	0.516833	radar	0	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.3871	20.8601	4.80083	3.35247	0.517943	lidar	0	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15808	20.821	4.79687	3.37342	0.513526	radar	0	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89757	20.777	4.81626	3.39424	0.508386	lidar	0	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.673	20.7026	4.81093	3.42314	0.511316	radar	0	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41952	20.6137	4.82797	3.45377	0.514311	lidar	0	8.22277	20.4839	8.39557	20.7357	-4.74108	-1.34701
1477010451650000	8.19174	20.5347	4.82788	3.48052	0.515566	radar	0	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.95546	20.4534	4.83452	3.50526	0.51432	lidar	0	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.73689	20.3699	4.83274	3.53248	0.518528	radar	0	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66782
1477010451800000	7.4691	20.3039	4.86112	3.54671	0.507366	lidar	0	7.18029	20.392	7.45939	20.4236	-4.61975	-1.7717
1477010451850000	7.24516	20.2046	4.86147	3.57121	0.505662	radar	0	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.99568	20.1212	4.87898	3.58792	0.497689	lidar	0	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.7766	20.0255	4.87558	3.60751	0.491986	radar	0	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.53412	19.9356	4.88942	3.62308	0.48388	lidar	0	6.38914	20.0136	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.32058	19.839	4.88409	3.64124	0.478789	radar	0	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.07021	19.7466	4.90366	3.65327	0.468032	lidar	0	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.85695	19.6041	4.9123	3.68564	0.478093	radar	0	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.65021	19.4887	4.90782	3.70565	0.475191	lidar	0	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.4517	19.3405	4.9077	3.73535	0.480892	radar	0	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.22856	19.2415	4.91103	3.74505	0.469088	lidar	0	5.17021	19.4397	5.25059	19.2949	-4.19488	-2.71622
1477010452350000	5.03037	19.1239	4.89905	3.75879	0.45856	radar	0	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.84085	18.9777	4.89429	3.78358	0.460325	lidar	0	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.64123	18.8291	4.89965	3.80736	0.46231	radar	0	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.44582	18.6989	4.89519	3.82342	0.4568	lidar	0	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.25737	18.5532	4.88781	3.84012	0.448956	radar	0	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.0972	18.398	4.8711	3.86568	0.45236	lidar	0	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.91786	18.2324	4.87928	3.89527	0.463836	radar	0	3.42433	18.8357	3.84606	18.2457	-3.82841	-3.26644
1477010452700000	3.69233	18.0925	4.89825	3.90202	0.449407	lidar	0	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732
1477010452750000	3.51967	17.936	4.88673	3.91797	0.441285	radar	0	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627
1477010452800000	3.31201	17.772	4.90369	3.93104	0.433044	lidar	0	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331
1477010452850000	3.14001	17.5932	4.91046	3.95678	0.439642	radar	0	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844
1477010452900000	2.94865	17.4715	4.90038	3.95915	0.424052	lidar	0	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167
1477010452950000	2.80359	17.2642	4.90718	3.99625	0.441835	radar	0	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302
1477010453000000	2.62881	17.0831	4.9134	4.01366	0.437678	lidar	0	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251
1477010453050000	2.46439	16.9088	4.90519	4.02591	0.426065	radar	0	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78015
